,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
0,2011-04-18,28.354605923477894,28.858624339956613,28.24660099613266,28.69301605224609,810400,0.0,0.0,TRI,Consumer Services,Publishing
1,2011-04-19,28.801028223722444,29.657857824573345,28.69302326921144,29.441850662231445,902200,0.0,0.0,TRI,Consumer Services,Publishing
2,2011-04-20,29.686647999635333,29.773050281729606,29.456240082931245,29.629047393798828,536100,0.0,0.0,TRI,Consumer Services,Publishing
3,2011-04-21,29.715454102789348,29.765855670409568,29.42744279066289,29.52824592590332,440200,0.0,0.0,TRI,Consumer Services,Publishing
4,2011-04-25,29.593055401202765,29.61465804011302,29.355448346630702,29.441850662231445,426300,0.0,0.0,TRI,Consumer Services,Publishing
5,2011-04-26,29.549850812345873,29.765857939568,29.49944924088336,29.7010555267334,409600,0.0,0.0,TRI,Consumer Services,Publishing
6,2011-04-27,29.657854188697424,29.744259240385514,29.362643795462514,29.7298583984375,483000,0.0,0.0,TRI,Consumer Services,Publishing
7,2011-04-28,29.456253825138944,29.456253825138944,28.628223099841126,28.88023376464844,999200,0.0,0.0,TRI,Consumer Services,Publishing
8,2011-04-29,28.880221396869985,29.16103088443664,28.70021503338581,29.13943099975586,760000,0.0,0.0,TRI,Consumer Services,Publishing
9,2011-05-02,29.06743228748765,29.513850130716662,28.916227572851845,29.017030715942386,723700,0.0,0.0,TRI,Consumer Services,Publishing
10,2011-05-03,28.88022758346644,28.9450299980696,28.39780899771409,28.678621292114254,609000,0.0,0.0,TRI,Consumer Services,Publishing
11,2011-05-04,28.556219677499374,28.700225369484755,28.261009244935412,28.642621994018555,721600,0.0,0.0,TRI,Consumer Services,Publishing
12,2011-05-05,28.34739885428204,28.527405201903022,28.152991669249918,28.25379753112793,687200,0.0,0.0,TRI,Consumer Services,Publishing
13,2011-05-06,28.491416968899657,28.69302328765769,28.196206539283924,28.3258113861084,657000,0.0,0.0,TRI,Consumer Services,Publishing
14,2011-05-09,28.412203064212513,28.462604625031627,28.167394305942878,28.36900329589844,783600,0.0,0.0,TRI,Consumer Services,Publishing
15,2011-05-10,28.469817974910182,28.57062113746965,28.32581227981943,28.563419342041016,378300,0.0,0.0,TRI,Consumer Services,Publishing
16,2011-05-11,28.5634085712938,28.642611811061602,28.10979451082587,28.22499847412109,532800,0.0,0.0,TRI,Consumer Services,Publishing
17,2011-05-12,28.14579381473225,28.29699849392841,27.92978673778359,28.2609977722168,756000,0.0,0.0,TRI,Consumer Services,Publishing
18,2011-05-13,28.23219942196949,28.325803506789576,27.83618594313283,28.03779220581055,473000,0.0,0.0,TRI,Consumer Services,Publishing
19,2011-05-16,27.9945963664518,28.14580108470365,27.778589233709177,27.944194793701172,453500,0.0,0.0,TRI,Consumer Services,Publishing
20,2011-05-17,27.907900683348657,28.15468066520739,27.828059693806782,28.14742088317871,568100,0.31,0.0,TRI,Consumer Services,Publishing
21,2011-05-18,28.125639568271346,28.19822075641346,27.936926817824933,28.19096374511719,469600,0.0,0.0,TRI,Consumer Services,Publishing
22,2011-05-19,28.17645447370223,28.249035681215442,27.922417478610416,28.14742088317871,790100,0.0,0.0,TRI,Consumer Services,Publishing
23,2011-05-20,27.980476710546842,28.08209148977057,27.820797529821725,27.871604919433594,608600,0.0,0.0,TRI,Consumer Services,Publishing
24,2011-05-23,27.588539519583694,27.784512122273828,27.46515090055427,27.494184494018555,719500,0.0,0.0,TRI,Consumer Services,Publishing
25,2011-05-24,27.63934613725279,27.777251535275372,27.443373559770894,27.68289375305176,660900,0.0,0.0,TRI,Consumer Services,Publishing
26,2011-05-25,27.501442303786398,27.84983712905163,27.450634898151627,27.733705520629886,592400,0.0,0.0,TRI,Consumer Services,Publishing
27,2011-05-26,27.574019183446868,28.053062290831857,27.55950239003578,27.9949951171875,696500,0.0,0.0,TRI,Consumer Services,Publishing
28,2011-05-27,28.1256466619777,28.314359460020288,28.067579481782733,28.154680252075195,603400,0.0,0.0,TRI,Consumer Services,Publishing
29,2011-05-31,28.452264978345717,28.691785152350572,28.07483664862127,28.28532600402832,842300,0.0,0.0,TRI,Consumer Services,Publishing
30,2011-06-01,28.22000692450653,28.22000692450653,27.588538743992025,27.610315322875977,774900,0.0,0.0,TRI,Consumer Services,Publishing
