,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
16,2011-05-11,24.75579052714172,24.87487482375284,24.48959848408192,24.594675064086914,241100,0.0,0,AFG,Finance,Property-Casualty Insurers
17,2011-05-12,24.53162434919161,24.846851348876953,24.35649853516729,24.846851348876953,385000,0.0,0,AFG,Finance,Property-Casualty Insurers
18,2011-05-13,24.783807546779016,24.860863337470843,24.559646704152623,24.622692108154297,338500,0.0,0,AFG,Finance,Property-Casualty Insurers
19,2011-05-16,24.559650421142575,24.741780131263013,24.482594618788706,24.559650421142575,224400,0.0,0,AFG,Finance,Property-Casualty Insurers
20,2011-05-17,24.49659712801385,24.58065676163013,24.321471332525526,24.4755802154541,329700,0.0,0,AFG,Finance,Property-Casualty Insurers
21,2011-05-18,24.447569204635734,24.81182861328125,24.41954842790659,24.81182861328125,420100,0.0,0,AFG,Finance,Property-Casualty Insurers
22,2011-05-19,24.91689863801343,24.937912878930426,24.63669628881786,24.888877868652344,273200,0.0,0,AFG,Finance,Property-Casualty Insurers
23,2011-05-20,24.804826554055012,24.86787197016349,24.58066566838233,24.608686447143555,383200,0.0,0,AFG,Finance,Property-Casualty Insurers
24,2011-05-23,24.314462640337872,24.398524938680364,24.27243416337395,24.279438018798828,311900,0.0,0,AFG,Finance,Property-Casualty Insurers
25,2011-05-24,24.328476813835263,24.412536453067137,24.18837563364364,24.209392547607425,167300,0.0,0,AFG,Finance,Property-Casualty Insurers
26,2011-05-25,24.16036713587245,24.398538435176985,24.048286681623768,24.34249687194824,431400,0.0,0,AFG,Finance,Property-Casualty Insurers
27,2011-05-26,24.167360867212945,24.61568249632685,24.062284316298506,24.55263710021973,521800,0.0,0,AFG,Finance,Property-Casualty Insurers
28,2011-05-27,24.62269413633112,24.867869243083852,24.608683748486925,24.790813446044922,250500,0.0,0,AFG,Finance,Property-Casualty Insurers
29,2011-05-31,24.972942250780587,25.05700189363749,24.874869549871683,24.909896850585934,547300,0.0,0,AFG,Finance,Property-Casualty Insurers
30,2011-06-01,24.867871620572682,25.00797284020071,24.33549019263639,24.356504440307614,535100,0.0,0,AFG,Finance,Property-Casualty Insurers
31,2011-06-02,24.363503962698502,24.643706352085513,24.272440457524553,24.622692108154297,492600,0.0,0,AFG,Finance,Property-Casualty Insurers
32,2011-06-03,24.286451487756857,24.531629279995823,24.230412605553468,24.272443771362305,538400,0.0,0,AFG,Finance,Property-Casualty Insurers
33,2011-06-06,24.181370565227414,24.25141981570869,23.999238238443926,24.06929016113281,464400,0.0,0,AFG,Finance,Property-Casualty Insurers
34,2011-06-07,24.13233745280449,24.216397094432555,24.0202570398978,24.03426742553711,430200,0.0,0,AFG,Finance,Property-Casualty Insurers
35,2011-06-08,23.950211393230273,23.992242561171924,23.81711670306117,23.83813095092773,622800,0.0,0,AFG,Finance,Property-Casualty Insurers
36,2011-06-09,23.908178560494854,24.230409439635096,23.79609813852397,24.13934326171875,540100,0.0,0,AFG,Finance,Property-Casualty Insurers
37,2011-06-10,24.034270244460288,24.146350670512643,23.84513402445793,24.02025985717773,617000,0.0,0,AFG,Finance,Property-Casualty Insurers
38,2011-06-13,24.02025497192388,24.139339231294013,23.90817456866651,24.01324844360352,514200,0.0,0,AFG,Finance,Property-Casualty Insurers
39,2011-06-14,24.3074589700006,24.48258475123661,24.167357810570305,24.335479736328125,451800,0.0,0,AFG,Finance,Property-Casualty Insurers
40,2011-06-15,24.139334217434698,24.18836921666201,23.796089222843523,23.866138458251953,589800,0.0,0,AFG,Finance,Property-Casualty Insurers
41,2011-06-16,23.894166169259567,24.16736200788237,23.775079227788602,24.0412712097168,461500,0.0,0,AFG,Finance,Property-Casualty Insurers
42,2011-06-17,24.237414506517638,24.391526096496747,24.15335485389639,24.34949493408203,871200,0.0,0,AFG,Finance,Property-Casualty Insurers
43,2011-06-20,24.25142003099174,24.39852773384049,24.17436425145374,24.19538116455078,518700,0.0,0,AFG,Finance,Property-Casualty Insurers
44,2011-06-21,24.307460175268716,24.608676747706863,24.307460175268716,24.58765983581543,315700,0.0,0,AFG,Finance,Property-Casualty Insurers
45,2011-06-22,24.55263897951252,24.72776479630249,24.46857933567155,24.48258972167969,238900,0.0,0,AFG,Finance,Property-Casualty Insurers
